modelo,qtd_imagens,epoca,loss,mAP
Custom_FasterRCNN,8029,110,0.18761956926242288,0.3530464768409729
Custom_FasterRCNN,8029,120,0.1812644730288669,0.36438247561454773
Custom_FasterRCNN,8029,130,0.17500692623782443,0.36400821805000305
Custom_FasterRCNN,8029,140,0.16885771614265632,0.368242472410202
Custom_FasterRCNN,8029,150,0.16544667675913094,0.3638409376144409
Custom_FasterRCNN,9635,10,0.31651580437327065,0.12372562289237976
Custom_FasterRCNN,9635,20,0.2853278186147576,0.23462429642677307
Custom_FasterRCNN,9635,30,0.2635380929669008,0.28087517619132996
Custom_FasterRCNN,9635,40,0.24650585444163012,0.3010864555835724
Custom_FasterRCNN,9635,50,0.2338237924785014,0.32457229495048523
Custom_FasterRCNN,9635,60,0.21922437817055657,0.32964593172073364
Custom_FasterRCNN,9635,70,0.20931284208566148,0.3411005735397339
Custom_FasterRCNN,9635,80,0.1989176015042706,0.35194945335388184
Custom_FasterRCNN,9635,90,0.18983618305712346,0.3445817530155182
Custom_FasterRCNN,9635,100,0.18238203141172202,0.3636568784713745
Custom_FasterRCNN,9635,110,0.17565087648416985,0.3605835437774658
Custom_FasterRCNN,9635,120,0.16950439913383383,0.36393263936042786
Custom_FasterRCNN,9635,130,0.16479759253808204,0.36787348985671997
Custom_FasterRCNN,9635,140,0.1593343290617529,0.36534860730171204
Custom_FasterRCNN,9635,150,0.15498404979508446,0.3627093434333801
Custom_FasterRCNN,11241,10,0.30998363642191346,0.14477337896823883
Custom_FasterRCNN,11241,20,0.27324831642379815,0.26454249024391174
Custom_FasterRCNN,11241,30,0.2516965085894547,0.29110467433929443
Custom_FasterRCNN,11241,40,0.2348133551634171,0.32314440608024597
Custom_FasterRCNN,11241,50,0.2190222421195358,0.34423941373825073
Custom_FasterRCNN,11241,60,0.20576941486532715,0.3579910695552826
Custom_FasterRCNN,11241,70,0.19465114703317257,0.3632086515426636
Custom_FasterRCNN,11241,80,0.18452865052544934,0.3761999011039734
Custom_FasterRCNN,11241,90,0.17672920965758915,0.3702930808067322
Custom_FasterRCNN,11241,100,0.17017010112547062,0.3809390664100647
Custom_FasterRCNN,11241,110,0.1630447078919546,0.3808618187904358
Custom_FasterRCNN,11241,120,0.15666914394718,0.37650594115257263
Custom_FasterRCNN,11241,130,0.15247152021832086,0.38467973470687866
Custom_FasterRCNN,11241,140,0.1469875309743326,0.3807592988014221
Custom_FasterRCNN,11241,150,0.14258778300559657,0.38374078273773193
Custom_FasterRCNN,12847,10,0.3054932427791814,0.15762870013713837
